iter	RMSE
0	0.001220185378
1	0.001219860219
2	0.001219202278
3	0.001218634479
4	0.00121813045
5	0.001217892881
6	0.001217454851
7	0.001217165378
8	0.001216510669
9	0.001216291976
10	0.001215686316
11	0.0012151734
12	0.001214706725
13	0.001214308019
14	0.001214111514
15	0.001213764171
16	0.001213425666
17	0.001213100041
18	0.001212820981
19	0.001212426964
20	0.001212202491
21	0.001211939733
22	0.001211427102
23	0.001210954466
24	0.001210328218
25	0.001209925712
26	0.001209486405
27	0.001209062745
28	0.001208893655
29	0.0012084266
30	0.001207930451
31	0.00120756666
32	0.001207238686
33	0.00120677457
34	0.00120620732
35	0.001205772447
36	0.00120544916
37	0.001205328479
38	0.001204961455
39	0.001204478562
40	0.001203874048
41	0.001203475778
42	0.001203290006
43	0.001202862321
44	0.001202362009
45	0.001202049382
46	0.001201589836
47	0.001201102995
48	0.001200753188
49	0.001200400457
50	0.00119996315
51	0.001199408393
52	0.001199027424
53	0.001198739118
54	0.001198453846
55	0.001197966491
56	0.001197562097
57	0.00119716079
58	0.001197019387
59	0.00119678011
60	0.001196363428
61	0.001196066093
62	0.001195825986
63	0.001195455619
64	0.001195103924
65	0.001194795079
66	0.001194417809
67	0.001194108233
68	0.00119362931
69	0.001193333352
70	0.001193153295
71	0.001192713594
72	0.001192485623
73	0.001192045309
74	0.001191768167
75	0.001191528964
76	0.001191136336
77	0.001190899205
78	0.001190540866
79	0.001190305601
80	0.001190226084
81	0.001189961729
82	0.001189676758
83	0.001189362496
84	0.001189095626
85	0.001188642319
86	0.001188417155
87	0.001188251585
88	0.001188009238
89	0.001187623664
90	0.001187300397
91	0.001187053071
92	0.001186592953
93	0.001186496473
94	0.001186228931
95	0.001185992738
96	0.001185588828
97	0.001185384287
98	0.001185077595
99	0.001184700895
100	0.001184333948
101	0.001184082058
102	0.001183935355
103	0.001183737981
104	0.001183400677
105	0.001183102017
106	0.001182762749
107	0.001182323772
108	0.001181856753
109	0.001181485327
110	0.001181256424
111	0.001181106488
112	0.001180931252
113	0.001180673201
114	0.001180529292
115	0.001180310942
116	0.001180146272
117	0.001179994107
118	0.001179811864
119	0.001179619966
120	0.001179386681
121	0.001179066049
122	0.001178825503
123	0.001178534357
124	0.001178383712
125	0.001178050724
126	0.001177728982
127	0.001177366164
128	0.001177137722
